word	nodeType	unit
more	ADJ	grimm
poor	ADJ	grimm
great	ADJ	grimm
only	ADJ	grimm
beautiful	ADJ	grimm
kind	ADJ	grimm
good	ADJ	grimm
fond	ADJ	grimm
great	ADJ	grimm
ready	ADJ	grimm
great	ADJ	grimm
many	ADJ	grimm
costly	ADJ	grimm
fine	ADJ	grimm
short	ADJ	grimm
royal	ADJ	grimm
little	ADJ	grimm
dear	ADJ	grimm
sorrowful	ADJ	grimm
thirsty	ADJ	grimm
golden	ADJ	grimm
thirsty	ADJ	grimm
thirsty	ADJ	grimm
little	ADJ	grimm
frightened	ADJ	grimm
golden	ADJ	grimm
gentle	ADJ	grimm
meek	ADJ	grimm
ill	ADJ	grimm
warm	ADJ	grimm
scorching	ADJ	grimm
thirsty	ADJ	grimm
rude	ADJ	grimm
golden	ADJ	grimm
thirsty	ADJ	grimm
frightened	ADJ	grimm
glad	ADJ	grimm
poor	ADJ	grimm
royal	ADJ	grimm
shabby	ADJ	grimm
last	ADJ	grimm
treacherous	ADJ	grimm
real	ADJ	grimm
other	ADJ	grimm
royal	ADJ	grimm
great	ADJ	grimm
true	ADJ	grimm
old	ADJ	grimm
pretty	ADJ	grimm
delicate	ADJ	grimm
idle	ADJ	grimm
old	ADJ	grimm
real	ADJ	grimm
false	ADJ	grimm
dear	ADJ	grimm
unruly	ADJ	grimm
afraid	ADJ	grimm
other	ADJ	grimm
faithful	ADJ	grimm
true	ADJ	grimm
large	ADJ	grimm
dark	ADJ	grimm
dark	ADJ	grimm
next	ADJ	grimm
pure	ADJ	grimm
strong	ADJ	grimm
safe	ADJ	grimm
angry	ADJ	grimm
sulky	ADJ	grimm
dark	ADJ	grimm
next	ADJ	grimm
poor	ADJ	grimm
great	ADJ	grimm
safe	ADJ	grimm
dark	ADJ	grimm
old	ADJ	grimm
strange	ADJ	grimm
dark	ADJ	grimm
old	ADJ	grimm
next	ADJ	grimm
own	ADJ	grimm
little	ADJ	grimm
old	ADJ	grimm
little	ADJ	grimm
old	ADJ	grimm
lucky	ADJ	grimm
royal	ADJ	grimm
beautiful	ADJ	grimm
false	ADJ	grimm
true	ADJ	grimm
young	ADJ	grimm
meek	ADJ	grimm
false	ADJ	grimm
great	ADJ	grimm
ready	ADJ	grimm
false	ADJ	grimm
true	ADJ	grimm
other	ADJ	grimm
dazzling	ADJ	grimm
